ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
2035964,2035964,0,0
605888,605888,0,0
42684010,42684010,0,0
40930493,40930493,0,0
4305518,4305518,0,0
4178434,4178434,0,0
4143876,4143876,0,0
4021609,4310828,2,2
4021609,4015908,2,2
4021609,4196212,1,1
4021609,4134736,2,2
4021609,4015906,2,2
4021609,4258680,2,2
4021609,4134879,1,1
4021609,4134733,1,1
4021609,4147438,2,2
4021609,4018682,2,2
4021609,4024273,2,2
4021609,4017838,2,2
4021609,4135024,2,2
4021609,4021609,0,0
4021609,4300892,2,2
4021609,4135006,2,2
4021609,4254545,1,1
4021609,4015907,2,2
4021609,4018681,2,2
4021609,4018265,2,2
4021609,4017837,2,2
4021609,4238221,2,2
3000363,3000363,0,0
2922620,2922620,0,0
2922620,2922618,0,0
2840054,2791751,1,1
2840054,2840054,0,0
2824463,2824463,0,0
2824463,2758785,1,1
45158201,45158201,0,0
45303837,45303837,0,0
2800989,2788814,2,2
2800989,1523700,1,1
2800989,2886067,1,1
2800989,1524095,2,2
2800989,2800989,0,0
2743667,2743667,0,0
2070794,2070761,1,1
2070794,2070762,2,2
2070794,2070794,0,0
2056905,2056905,0,0
2056905,2056871,1,1
2056905,2056872,2,2
2037307,2037307,0,0
2037307,2037308,1,1
2022537,2022537,0,0
2022537,2022535,0,0
2022537,2022536,1,1
1718511,1718514,1,1
1718511,1718511,0,0
1617563,1617563,0,0
1536100,1536100,0,0
1536100,1535149,1,1
1536100,43014894,2,2
1536100,43014896,2,2
1536100,1535755,1,1
1536100,1535252,1,1
1536100,43014895,2,2
1500287,1500287,0,0
1500287,2075009,2,2
1500287,42731583,2,2
1500287,36818473,2,3
1500287,2075012,2,3
1500287,2075053,2,2
1500287,36818446,2,3
1500287,43655805,1,1
1500287,36818472,2,3
1500287,19012860,1,1
1500287,36814819,2,2
1500287,43870222,2,3
1500287,2075008,2,2
1500287,19101878,1,1
1500287,36814848,2,2
1500287,19116831,0,0
1500287,2075054,2,3
1500287,19106414,1,1
1500287,43799484,2,2
1500287,36897813,2,2
1500287,36814934,2,2
1500287,36814933,2,3
1500287,36814847,2,2
1500287,1548445,1,1
1500287,36814935,2,2
1500287,36940929,2,2
1500287,36938770,2,2
1301792,1301793,1,1
1301792,1301792,0,0
1146204,1146204,0,0
1146204,1146755,0,0
995341,995341,0,0
765858,765858,0,0
603939,603939,0,0
434167,434167,0,0
2934328,2934327,1,1
2934328,2934328,0,0
2933662,2933662,0,0
2899207,2899207,0,0
2899207,2771459,1,1
2888471,2888471,0,0
2888471,2727923,2,2
2888471,2727922,2,2
2888471,2828685,1,1
2888471,2727924,2,2
2888471,2813464,1,1
2881251,2881251,0,0
2881251,2794657,1,1
2875430,2875430,0,0
2875430,2734427,1,1
2872210,2872210,0,0
2872210,2772660,1,1
2868368,2868368,0,0
2868368,2733533,1,1
2868368,2729791,1,1
2837886,2850558,1,1
2837886,2850560,1,1
2837886,2882698,2,2
2837886,2850559,2,2
2837886,2837886,0,0
2837886,2869050,1,1
2837886,2757295,3,3
2837886,2757296,3,3
2837886,2757297,3,3
2837886,2864011,2,2
2829707,2829707,0,0
2829707,2738658,2,2
2829707,2873815,1,1
2813940,2732135,1,1
2813940,2813940,0,0
2813852,2813852,0,0
2813852,2789567,1,1
2812693,2745711,2,2
2812693,2834958,1,1
2812693,2812693,0,0
2812693,2745712,2,2
2812693,2887235,1,1
2812693,2745710,2,2
2804739,2741426,1,1
2804739,2804739,0,0
2796324,2796326,1,1
2796324,2879161,2,2
2796324,42897315,3,3
2796324,2730830,3,3
2796324,2730829,3,3
2796324,2796324,0,0
2796324,2865907,1,1
2796324,42897314,3,3
2796324,2889603,1,1
2796324,2730831,3,3
2796324,2796325,2,2
2796324,42897313,3,3
2796324,2889604,2,2
2792351,2792351,0,0
2777713,2777713,0,0
2762111,2762111,0,0
2761580,2761580,0,0
2756295,2756295,0,0
2751400,2751400,0,0
2747983,2747983,0,0
2747768,2747768,0,0
2743945,2743945,0,0
2740330,2740330,0,0
2731005,2731005,0,0
2052412,2052412,0,0
2046189,2046189,0,0
1621130,1621130,0,0
1002238,1002238,0,0
4165952,4165952,0,0
4102569,4102569,0,0
4063350,4063350,0,0
2916238,2916233,2,2
2916238,2916231,2,2
2916238,2916238,0,0
2916238,2916235,0,0
2916238,2916234,1,1
2916238,2916232,1,1
4103181,4320698,1,1
4103181,4319877,2,2
4103181,4103182,1,1
4103181,4319623,1,1
4103181,4320530,2,2
4103181,4189455,1,1
4103181,4319622,1,1
4103181,4103181,0,0
4103181,4320999,1,1
4103181,4319878,2,2
4103181,4116632,1,1
44165961,44167416,1,1
44165961,44165961,0,0
44136448,44136448,0,0
44116209,44116209,0,0
44111623,44111623,0,0
44111623,44133363,1,1
44111623,44134152,0,0
44104033,44104033,0,0
44104033,44080986,0,0
44104033,44051727,2,2
44104033,44123943,1,1
44104033,44087022,1,1
44102219,44102219,0,0
44095569,44095569,0,0
44095569,44111688,1,1
44095569,44085946,1,1
44095569,44127536,2,2
44095569,44073049,1,1
44095569,44114405,2,2
44095569,44127535,2,2
44067582,44067582,0,0
44067582,44086281,1,1
44067582,44050510,2,2
44067531,44067531,0,0
44067531,44060563,1,1
44067531,44128018,2,2
44046875,44046875,0,0
44046875,44062400,1,1
44039365,44039365,0,0
44039365,44125903,1,1
44039365,44103126,2,2
44039365,44090093,2,2
44039365,44125904,1,1
44039365,44059108,1,1
44039365,44093854,0,0
44039365,44055194,0,0
44037855,44037855,0,0
44037288,44037288,0,0
44027755,44027755,0,0
44027755,44111228,1,1
44027755,44049141,2,2
43868604,43868604,0,0
43868604,43796216,1,1
43857417,43857417,0,0
43857417,43824354,1,1
43857417,43716228,2,2
43857417,43829770,2,2
43857417,43767134,1,1
43857417,43866084,1,1
43851013,43851013,0,0
43851013,43717134,1,1
43851013,43753143,0,0
43845751,43845751,0,0
43845751,43647876,1,1
43844690,43844690,0,0
43842185,43842185,0,0
43842185,43842186,0,0
43842185,43752046,1,1
43832441,43832441,0,0
43832441,43742459,1,1
43822457,43822457,0,0
43822457,43826255,1,1
43822457,43808151,1,2
43822457,43606452,1,1
43822457,43790026,1,1
43822457,43736292,0,0
43822457,43736293,1,2
43822457,43786377,1,1
43822457,43718127,1,1
43817971,43817971,0,0
43806206,43806206,0,0
43806206,41331331,1,1
43806206,41333373,1,1
43806206,43824363,0,0
43806206,43698493,1,1
43804551,40887097,2,3
43804551,43804552,1,1
43804551,41230616,2,3
43804551,41222251,1,1
43804551,41159998,2,2
43804551,40847634,2,2
43804551,40847635,2,2
43804551,43840755,2,2
43804551,41097221,2,2
43804551,41011664,2,3
43804551,41034553,2,2
43804551,43804551,0,0
43804551,41065674,2,2
43804551,40855771,2,3
43804551,41261343,2,3
43804551,41136941,2,3
43797739,43797739,0,0
43797739,43833009,0,0
43797739,43666905,1,1
43797739,43706959,1,1
43797739,43851006,1,1
43797739,43702752,2,2
43797739,43684810,1,1
43795842,43777963,1,1
43795842,43795842,0,0
43790848,43790848,0,0
43790848,43737077,1,1
43769640,43769640,0,0
43769640,43823687,0,0
43769640,43589669,1,1
43767803,41119413,1,1
43767803,40931872,2,2
43767803,41275284,2,2
43767803,40900798,1,1
43767803,41150970,2,2
43767803,43640602,1,1
43767803,40900799,1,1
43767803,43767803,0,0
43767803,43604546,2,2
43767803,40963144,2,2
43767803,40838623,2,2
43767803,40900797,2,2
43764704,43644246,0,0
43764704,43764704,0,0
43764704,43734061,1,1
43754755,43754755,0,0
43748231,43748231,0,0
43736514,43736514,0,0
43716965,43752971,1,1
43716965,43716965,0,0
43716965,43663328,0,0
43713226,43803175,2,2
43713226,43716245,1,1
43713226,43842435,2,2
43713226,43716246,2,3
43713226,43803174,2,2
43713226,43608354,2,2
43713226,43824368,2,2
43713226,43860617,2,3
43713226,43713226,0,0
43713226,43605332,1,1
43703977,43703977,0,0
43703977,43668132,1,1
43688754,43688754,0,0
43685847,43685847,0,0
43679175,43679175,0,0
43679175,43696991,0,0
43679175,43719972,0,0
43679175,43791863,0,0
43679175,43756053,1,1
43677430,43731086,1,1
43677430,43677430,0,0
43677430,43749030,2,2
43630487,41413192,1,1
43630487,43630488,1,1
43630487,43630487,0,0
43630456,43720279,1,1
43630456,43666671,1,1
43630456,43756332,1,1
43630456,43828400,1,1
43630456,43738371,1,1
43630456,43846438,1,1
43630456,43810321,1,1
43630456,43630458,1,1
43630456,43846439,1,1
43630456,43846443,1,1
43630456,43630456,0,0
43630456,43792159,1,1
43630456,43684554,1,1
43630456,43792162,1,1
43630456,43684552,1,1
43630456,43720276,1,1
43630456,43684551,1,1
43630456,43648582,1,1
43630456,43756333,1,1
43630456,43846442,1,1
43630456,43648584,1,1
43630456,43702529,1,1
43630456,43666670,1,1
43630456,43684549,1,1
43630456,43702527,1,1
43630456,43774379,1,1
43630456,43864732,1,1
43630456,43846446,1,1
43630456,43702528,1,1
43630456,43630459,1,1
43630456,43792163,1,1
43630456,43612373,1,1
43630456,43756331,1,1
43630456,43648581,1,1
43630456,43648586,1,1
43630456,43630457,1,1
43630456,43846441,1,1
43630456,43720277,1,1
43630456,43648587,1,1
43630456,43594411,1,1
43630456,43828401,1,1
43630456,43720278,1,1
43630456,43846436,1,1
43630456,43594414,1,1
43630456,43828402,1,1
43630456,43846437,1,1
43630456,43774380,0,0
43630456,43810322,1,1
43630456,43864731,1,1
43630456,43774378,1,1
43630456,43810323,1,1
43630456,43774377,1,1
43629571,43629571,0,0
43627235,43627235,0,0
43627235,43807121,0,0
43627235,43609222,1,1
43601246,43601246,0,0
43601246,43706099,1,1
43601246,43832056,0,0
43601246,43637336,0,0
43601246,43868289,0,0
43601246,43688131,1,1
43601246,43619259,0,0
43601246,43832059,0,0
376969,376969,0,0
376969,4114029,1,1
373755,373755,0,0
373755,43530641,1,1
2806762,2806762,0,0
2806762,2768467,1,1
606500,606500,0,0
46215505,46215505,0,0
43700243,43700243,0,0
43700243,41369044,1,1
43700243,43807986,1,1
43700243,41367517,1,1
43700243,43789869,1,1
43700243,43807987,1,2
41171783,41185225,2,2
41171783,40903957,2,2
41171783,40914874,2,3
41171783,40841761,1,1
41171783,41171783,0,0
41171783,41133727,2,3
41171783,1971636,2,3
37207506,37207506,0,0
4230652,4230652,0,0
4208466,42535874,3,4
4208466,761440,3,5
4208466,4179911,4,4
4208466,4111853,3,3
4208466,4181315,3,3
4208466,37116421,3,4
4208466,761013,4,4
4208466,45757143,4,4
4208466,439314,4,5
4208466,44782735,4,4
4208466,36713003,5,5
4208466,4119759,4,5
4208466,761415,5,7
4208466,4264734,3,3
4208466,4309333,3,3
4208466,765228,5,6
4208466,42535511,3,3
4208466,764712,5,5
4208466,442053,3,4
4208466,4240612,2,2
4208466,4339011,4,4
4208466,42535113,3,3
4208466,4125011,1,1
4208466,765229,5,5
4208466,37109921,3,4
4208466,4174016,2,2
4208466,44782756,3,5
4208466,4084941,4,4
4208466,46285905,3,3
4208466,46271471,4,4
4208466,762004,6,6
4208466,198446,4,4
4208466,4170620,3,3
4208466,4112165,3,3
4208466,440750,4,4
4208466,765152,4,8
4208466,761817,6,7
4208466,4278353,1,1
4208466,45765438,4,4
4208466,444264,2,2
4208466,312939,2,2
4208466,4176614,4,6
4208466,762029,6,6
4208466,44784293,4,4
4208466,3656111,4,4
4208466,764504,2,2
4208466,42535512,3,3
4208466,46271475,3,4
4208466,4178399,3,3
4208466,764705,3,3
4208466,201595,5,5
4208466,4208466,0,0
4208466,35615061,3,3
4208466,4235812,3,3
4208466,763926,4,5
4208466,44782744,5,5
4208466,35615064,2,2
4208466,765156,6,6
4208466,4300990,2,3
4208466,36712891,3,4
4208466,4277833,4,5
4208466,4046443,4,4
4208466,761831,5,6
4208466,4291461,3,3
4208466,764703,3,3
4208466,312622,3,3
4208466,761921,3,3
4208466,762015,6,8
4208466,761812,4,4
4208466,4124997,2,2
4208466,4141106,2,2
4208466,761818,5,6
4208466,4259275,1,1
4208466,193512,4,4
4208466,4066234,5,5
4208466,762028,6,6
4208466,4103209,1,1
4208466,761450,5,5
4208466,4153353,5,5
4208466,4223544,4,4
4208466,765542,7,9
4208466,4096157,2,2
4208466,4112171,5,5
4208466,761455,5,5
4208466,4100224,4,4
4208466,763149,5,5
4208466,4009654,2,2
4208466,4239826,1,1
4208466,4159647,1,1
4208466,4028057,3,3
4208466,4124856,4,4
4208466,761448,6,6
4208466,4273526,2,2
4208466,44782745,5,5
4208466,4319459,3,3
4208466,4339013,4,4
4208466,36713002,5,5
4208466,45768887,4,4
4208466,761417,5,5
4208466,4334247,4,4
4208466,762025,6,6
4208466,4217471,4,5
4208466,36713010,5,6
4208466,4301602,3,3
4208466,42538998,3,4
4208466,761457,4,4
4208466,4205652,4,4
4208466,4182191,4,4
4208466,4094022,2,2
4208466,46285904,3,3
4208466,45767657,3,3
4208466,761026,5,5
4208466,761980,4,4
4208466,762345,3,3
4208466,46270157,3,5
4208466,444247,1,1
4208466,4179908,3,3
4208466,35615120,3,3
4208466,44782762,4,4
4208466,761928,4,4
4208466,765545,3,5
4208466,4023598,2,2
4208466,4137209,5,5
4208466,761445,6,6
4208466,4066227,3,3
4208466,45768888,4,4
4208466,44782737,5,5
4208466,42539410,3,4
4208466,314965,3,3
4208466,764882,2,2
4208466,4120114,2,2
4208466,4316223,3,4
4208466,4084942,3,3
4208466,42710001,2,2
4208466,4074987,1,1
4208466,37109253,5,7
4208466,4084446,4,4
4208466,42535735,3,3
4208466,192981,4,4
4208466,3655207,2,2
4208466,35615094,4,4
4208466,35615095,5,5
4208466,44782742,5,5
4208466,4230478,2,2
4208466,35615098,5,5
4208466,4309475,2,2
4208466,762008,7,7
4208466,43531717,3,3
4208466,764505,4,4
4208466,765155,7,9
4208466,44782743,5,5
4208466,35615100,6,6
4208466,46273494,5,5
4208466,4124858,3,3
4208466,4237181,5,5
4208466,35615093,4,4
4208466,761410,6,6
4208466,4137553,3,3
4208466,4319332,4,4
4208466,765539,6,6
4208466,4149782,2,2
4208466,762811,5,5
4208466,4108376,4,5
4208466,4116206,5,6
4208466,764715,2,3
4208466,761793,3,3
4208466,764503,4,4
4208466,35615035,6,6
4208466,44782736,5,5
4208466,44782760,4,4
4208466,77310,4,5
4208466,4204900,4,4
4208466,4319329,3,3
4208466,4348039,2,2
4208466,46270073,3,3
4208466,4175570,4,4
4208466,4098706,4,5
4208466,761789,3,3
4208466,4146840,5,5
4208466,44782759,4,4
4208466,35615034,6,6
4208466,319054,3,3
4208466,45757410,4,4
4208466,4092406,3,3
4208466,764506,3,4
4208466,35626336,4,5
4208466,4334888,5,5
4208466,4111711,3,3
4208466,196715,3,3
4208466,762417,6,6
4208466,765541,6,8
4208466,3185768,4,4
4208466,42539417,5,5
4208466,435885,4,4
4208466,44782761,4,4
4208466,762024,6,6
4208466,37109925,3,3
4208466,4171853,3,3
4208466,35615080,4,4
4208466,4230266,4,4
4208466,4112161,4,5
4208466,4110343,5,7
4208466,4308840,3,3
4208466,4175569,5,5
4208466,4159966,4,4
4208466,35615125,2,2
4208466,761809,5,5
4208466,35615062,3,3
4208466,764722,3,3
4208466,762828,4,4
4208466,37312158,3,3
4208466,762418,5,5
4208466,37117819,3,3
4208466,4175649,4,4
4208466,44782747,5,5
4208466,44782766,5,5
4208466,435887,3,3
4208466,4077218,2,2
4208466,762021,6,6
4208466,4222152,3,3
4208466,46273489,2,2
4208466,765544,3,5
4208466,44782741,4,4
4208466,4258261,5,5
4208466,4153091,3,3
4208466,4317289,3,3
4208466,4209308,3,3
4208466,4046884,4,4
4208466,4187790,2,2
4208466,44782738,5,5
4208466,4104695,4,5
4208466,4281689,4,4
4208466,4111850,3,4
4208466,318137,4,4
4208466,762020,7,7
4208466,761820,6,6
4208466,761439,5,6
4208466,44809916,1,1
4208466,763941,4,4
4208466,761447,5,5
4208466,35615105,3,4
4208466,762016,6,8
4208466,762022,6,6
4208466,435031,4,4
4208466,4199035,4,4
4208466,761461,6,6
4208466,46270070,4,5
4208466,4236905,3,3
4208466,761416,5,7
4208466,4112162,4,4
4208466,4043735,4,4
4208466,441874,2,2
4208466,4102202,3,3
4208466,763942,4,4
4208466,764714,5,5
4208466,4009180,3,3
4208466,4207899,4,4
4208466,4144150,2,2
4208466,4025854,3,3
4208466,4108375,4,4
4208466,762006,6,6
4208466,3655084,4,7
4208466,4119760,5,6
4208466,4179910,5,5
4208466,4048787,4,4
4208466,4278217,1,1
4208466,4250765,5,5
4208466,762018,3,5
4208466,201045,5,5
4208466,765922,3,5
4208466,4194719,2,2
4208466,4120115,3,3
4208466,764723,4,4
4208466,44782755,2,4
4208466,4232600,2,2
4208466,4203836,3,3
4208466,4105338,4,4
4208466,761823,5,5
4208466,764726,5,5
4208466,4311124,4,4
4208466,36712810,5,5
4208466,42535829,3,4
4208466,761821,6,6
4208466,4223518,1,1
4208466,762005,5,5
4208466,4041680,4,5
4208466,4057329,4,4
4208466,4301208,3,3
4208466,45757409,4,4
4208466,3172731,4,7
4208466,762009,6,6
4208466,761444,5,7
4208466,35615103,3,4
4208466,3655221,4,4
4208466,4337367,4,4
4208466,3174315,4,4
4208466,762027,7,7
4208466,764708,4,4
4208466,761832,4,5
4208466,4111713,4,4
4208466,762047,6,6
4208466,42535114,3,3
4208466,42539416,5,5
4208466,4295878,2,4
4208466,36712892,3,4
4208466,762012,6,6
4208466,44782746,3,3
4208466,4110331,4,5
4208466,762026,6,6
4208466,762422,5,5
4208466,44784475,5,5
4208466,37109920,4,5
4208466,4318407,4,4
4208466,761039,3,3
4208466,761830,4,5
4208466,4338761,3,3
4208466,45771016,5,5
4208466,4089917,5,5
4208466,4133975,3,4
4208466,443537,3,3
4208466,4336005,5,5
4208466,44813802,3,3
4208466,40480273,4,4
4208466,4055089,4,4
4208466,43530917,2,2
4208466,4110339,4,5
4208466,4178609,4,4
4208466,4178400,3,3
4208466,4273550,4,4
4208466,762011,7,7
4208466,4121618,3,3
4208466,760877,5,5
4208466,444055,4,4
4208466,4158798,3,5
4208466,44782734,5,5
4208466,762049,5,5
4208466,763795,4,4
4208466,4119758,5,5
4208466,44782752,2,4
4208466,4317290,3,4
4208466,4135330,3,3
4208466,4304192,3,3
4208466,37110574,1,1
4208466,4120101,4,4
4208466,4289731,3,3
4208466,765153,6,6
4208466,313761,3,3
4208466,36712811,5,5
4208466,4110337,5,6
4208466,761449,6,7
4208466,762046,5,5
4208466,765540,6,6
4208466,35615097,5,5
4208466,4109877,5,7
4208466,44811347,3,3
4208466,760875,6,6
4208466,4179909,4,4
4208466,4290940,4,4
4208466,4042396,3,3
4208466,4061473,4,4
4208466,762050,6,6
4208466,761824,6,6
4208466,45773536,5,5
4208466,765154,6,6
4208466,4137554,3,3
4208466,765543,6,8
4208466,44782751,5,5
4208466,4140616,4,4
4208466,762014,7,7
4208466,4041679,5,5
4208466,4136335,3,3
4208466,444097,3,3
4208466,441649,4,4
4208466,44782421,4,4
4208466,765546,7,7
4208466,46270023,2,2
4208466,764725,3,3
4208466,3174854,3,3
4208466,4134723,2,2
4208466,4069561,5,5
4208466,4047634,5,5
4208466,4028488,2,2
4208466,37312159,3,3
4208466,4238705,2,2
4208466,4110333,4,5
2936363,2936363,0,0
374367,36715416,1,1
374367,36685106,1,1
374367,443606,1,1
374367,443608,1,1
374367,374367,0,0
374367,36685104,2,2
374367,436421,2,2
374367,433495,1,1
4041006,4041006,0,0
4041006,4285368,2,2
4041006,4238150,1,1
4041006,4098856,1,1
2028115,2028115,0,0
2028115,2028116,1,1
1592916,1592916,0,0
911334,911334,0,0
793964,793969,1,1
793964,793972,1,1
793964,793964,0,0
793964,793967,1,1
789813,789813,0,0
779305,779306,1,1
779305,779305,0,0
439287,439287,0,0
2071698,2071698,0,0
2071698,2028949,2,2
2071698,2028947,1,1
2071698,2071697,1,1
2835074,2835074,0,0
2835074,2737965,1,1
45354995,45354995,0,0
45262856,45262856,0,0
44175428,44175428,0,0
44174391,44174391,0,0
4206622,4206622,0,0
4186286,4186286,0,0
4180606,4180606,0,0
4180606,4152777,1,1
4180606,4131627,2,2
4126915,4126915,0,0
4102518,4102518,0,0
4101738,4101738,0,0
4093051,4093051,0,0
4087186,4087186,0,0
4079556,4079556,0,0
4048116,4048116,0,0
4047070,4047070,0,0
4027702,4027702,0,0
4027702,434145,2,2
4027702,3657824,2,2
4027702,3657086,3,4
4027702,4270485,1,1
4027702,3657823,2,2
4027702,4318412,3,3
4027702,4306316,2,2
4027702,4069800,3,3
4027702,373858,1,1
4027702,36716390,2,2
4027702,36715408,2,2
4027702,4169445,2,2
4027702,40482880,2,2
4027702,37111654,2,2
4027702,4070185,3,3
4027702,45757716,4,4
4027702,36684791,3,3
4027702,45757718,4,4
4027702,36676713,4,4
4027702,36717554,2,2
4027702,4316232,3,3
4027702,4212064,3,3
4027702,443791,2,2
4027702,4105600,2,2
4027702,37207948,3,5
4027702,37396247,2,2
4027702,36676682,2,2
4027702,36716388,2,2
4027702,37117168,4,4
4027702,4100888,2,2
4027702,36676498,2,2
4027702,36684665,2,2
4027702,37207888,3,5
4027702,36713803,2,2
4027702,380513,1,1
4027702,4148086,1,1
4027702,36715372,2,2
4027702,37396330,2,2
4027702,4304257,2,2
4027702,378245,1,1
4027702,37110071,3,5
4027702,37310630,3,5
4027702,3657139,3,3
4027702,381949,1,1
4027702,36716442,3,5
4027702,36716389,2,2
4027702,4102696,3,3
4027702,4068699,2,2
4027702,4317297,2,2
4027702,4316234,3,3
4027702,4157030,2,2
4027702,3657068,3,4
4027702,37396376,2,2
4027702,37310640,3,5
4027702,36676675,4,4
4027702,36684731,2,2
4027702,36675714,2,2
4027702,36716124,2,2
4027702,4317296,3,3
4027702,36713858,3,4
4027702,4103383,4,4
4027702,37204687,3,5
4027702,37116290,2,2
4027702,36714026,2,2
4027702,4259117,3,3
4027702,4318413,1,1
4027702,37396246,2,2
4027702,45770920,2,2
4027702,37207995,4,6
4027702,4280227,2,2
4027702,4217870,2,4
4027702,36713473,2,2
4027702,378534,2,2
4027702,36715527,2,2
4027702,4048386,2,2
4027702,36716433,2,2
4027702,3657138,3,3
4027702,37207996,4,4
4027702,36716387,2,2
4027702,37111650,2,2
4027702,381392,2,2
4027702,3657147,4,4
4027702,42538648,1,1
4027702,4068113,1,1
4027702,3657007,3,3
4027702,36713544,2,2
4027702,4100889,2,2
4027702,3654914,3,3
4027702,3656920,3,3
4027702,36674872,1,1
4027702,4069803,2,2
4027702,4100720,3,3
4027702,37310624,4,6
4027702,4302481,1,1
4027702,4099981,3,3
4027702,4216348,2,2
4027702,1340287,2,2
4027702,604630,2,2
4027702,618481,4,4
4027702,604912,2,2
4027702,619198,2,2
4027702,604464,2,2
4016050,4016050,0,0
4016050,44810441,1,1
2930294,2930286,0,0
2930294,2930294,0,0
2926318,2926318,0,0
2926278,2926277,1,1
2926278,2926278,0,0
2926278,2926276,2,2
2908085,2908085,0,0
2887056,2746956,1,1
2887056,2746958,1,1
2887056,2746959,1,1
2887056,2887056,0,0
2887056,2746961,1,1
2887056,2746957,1,1
2887056,2746960,1,1
2886184,2886184,0,0
2886184,2778009,1,1
2862501,2862501,0,0
2862501,2728341,3,3
2862501,2728344,3,3
2862501,2728342,3,3
2862501,2867368,2,2
2862501,2728345,3,3
2862501,2821001,1,1
2862501,2867366,1,1
2862501,2728340,3,3
2862501,2728343,3,3
2862501,2853846,2,2
2862501,2821000,2,2
2862501,2867367,1,1
2847599,2747657,2,2
2847599,2847599,0,0
2847599,2747656,2,2
2847599,2847600,1,1
2847599,2835278,1,1
2842098,2842098,0,0
2842098,2760615,1,1
2832885,2832885,0,0
2832885,2792809,1,1
2832862,2832862,0,0
2832862,2792261,2,2
2832862,2852632,1,1
2831917,2765399,1,1
2831917,2831917,0,0
2824967,2824967,0,0
2824967,2756710,1,1
2815545,2752386,1,1
2815545,2815545,0,0
2808947,2808947,0,0
2808947,2740817,1,1
2734602,2734602,0,0
2057608,2057583,2,2
4016268,4016268,0,0
4016268,4016272,1,1
4016268,4015066,1,1
4016268,4012149,2,2
3016693,3016693,0,0
2856739,2856739,0,0
2856739,2751702,1,1
2832295,2886688,1,1
2832295,2774595,2,2
2832295,2878933,1,1
2832295,2774596,2,2
2832295,2832295,0,0
2819704,2819704,0,0
2819704,2871657,1,1
2819704,2784208,2,2
2072463,2072463,0,0
2045827,2045827,0,0
2045827,2045809,1,1
2045827,2045810,2,2
2043719,2043719,0,0
2028146,2028146,0,0
2027435,2027435,0,0
1537411,1537427,1,1
1537411,1537434,1,1
1537411,1537431,1,1
1537411,1537430,2,3
1537411,1537414,1,1
1537411,1537428,1,1
1537411,1537421,1,2
1537411,1537417,1,1
1537411,1537435,2,3
1537411,1537418,2,3
1537411,1537413,1,1
1537411,1537429,1,2
1537411,1537432,1,1
1537411,1537422,1,1
1537411,1537419,2,3
1537411,1537423,2,3
1537411,1537425,2,3
1537411,1537420,1,1
1537411,1537411,0,0
1536188,1536188,0,0
1536188,1535946,1,1
1536188,43015234,2,2
1536188,1535200,1,1
1536188,43015235,2,2
1536188,1534129,1,1
1536188,43015236,2,2
1534128,1534128,0,0
1534128,43016987,1,1
1526479,1526479,0,0
1526479,43026349,1,2
1526479,2055398,1,1
1526479,41023135,1,1
1526479,2055428,1,1
1526479,2055423,0,0
1526479,43271949,1,1
1526479,42964946,0,0
1526479,41323166,1,2
1526479,21123708,1,2
1526479,21035488,1,1
1526479,43767248,1,1
1526479,42875395,1,1
1526479,43026348,1,2
1526479,36508089,1,2
1526479,42964967,0,0
1526479,21123707,1,1
1526479,43026351,1,2
1526479,42964969,0,0
1526479,36788327,1,2
1526479,43026344,1,2
1526479,2055425,0,0
1526479,782906,0,0
1526479,42964974,0,0
1526479,2055424,1,1
1526479,2055412,1,1
1526479,42656135,1,2
1526479,36503660,1,2
1526479,43132970,1,1
1526479,21133571,1,1
1526479,43266473,1,1
1526479,2055408,1,1
1526479,2055384,1,1
1526479,43026333,1,2
1526479,43695472,0,0
1526479,2055415,0,0
1526479,2055418,1,1
1526479,41282914,1,1
1526479,41291838,1,2
1526479,36505328,1,2
1526479,2055422,1,1
1526479,43026330,1,2
1526479,42964954,0,0
1526479,21055149,1,1
1526479,41282913,1,1
1526479,21035489,1,2
1526479,36506130,1,2
1526479,40939801,1,1
1526479,2055397,0,0
1526479,21084617,1,1
1526479,43026337,1,2
1526479,2055388,1,1
1526479,42964945,0,0
1526479,36506200,1,1
1526479,42964957,0,0
1526479,43293665,1,1
1526479,2055416,1,1
1526479,2055409,0,0
1526479,21045344,1,1
1526479,43026353,1,2
1526479,2055413,0,0
1526479,41291835,1,2
1526479,2055395,0,0
1526479,43749228,1,1
1526479,43026357,1,2
1526479,41291836,1,2
1526479,43026341,1,2
1526479,782903,0,0
1526479,43026354,1,2
1526479,41136254,1,2
1526479,42964961,0,0
1526479,2055402,1,1
1526479,42964973,0,0
1526479,41158702,1,1
1526479,21055150,1,2
1526479,2055392,1,1
1526479,42875393,1,2
1526479,43026340,1,2
1526479,2055429,0,0
1526479,2055405,0,0
1526479,42875397,1,2
1526479,35407134,1,2
1526479,782904,1,1
1526479,2055406,1,1
1526479,37592489,1,2
1526479,42964948,0,0
1526479,43026346,1,2
1526479,42964970,0,0
1526479,2055404,1,1
1526479,36507828,1,2
1526479,21074948,1,2
1526479,42964962,0,0
1526479,37592491,1,1
1526479,44171372,1,2
1526479,42964960,0,0
1526479,2055414,1,1
1526479,42875396,1,1
1526479,36506180,1,1
1526479,43026345,1,2
1526479,2055391,0,0
1526479,2012162,1,1
1526479,2055419,0,0
1526479,2055417,0,0
1526479,43143884,1,1
1526479,2055390,1,1
1526479,36275026,1,1
1526479,43026355,1,2
1526479,2055421,0,0
1526479,42964956,0,0
